dataset,split,scene,method,metric,value,metric_direction,source_file,valid_flag,note
glossy_synthetic,train,angel,base,mean_reflection_consistency,0.1161050170660018,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,base,reflective_region_psnr,25.86960678100586,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,base,full_psnr,32.8659302847726,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,base,full_ssim,0.9742000039134708,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,base,full_lpips,0.0325455718141581,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,base,reflective_psnr,34.376462493624004,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,base,reflective_ssim,0.9835989932928768,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,base,reflective_lpips,0.0160896331570776,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,base,valid_pair_count,10.0,count,docs/superpowers/logs/rc-refgs-fd-p2-lite-main-table-2026-05-29.csv,True,pair-count metric from earlier main consistency table
glossy_synthetic,train,angel,rc,mean_reflection_consistency,0.0997577019035816,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,rc,reflective_region_psnr,26.09582443237305,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,rc,full_psnr,32.80772658756801,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,rc,full_ssim,0.9744968760226456,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,rc,full_lpips,0.0324710208057825,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,rc,reflective_psnr,34.23360657691956,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,rc,reflective_ssim,0.9837508334645204,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,rc,reflective_lpips,0.0163719008227677,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,angel,rc,valid_pair_count,10.0,count,docs/superpowers/logs/rc-refgs-fd-p2-lite-main-table-2026-05-29.csv,True,pair-count metric from earlier main consistency table
glossy_synthetic,train,bell,base,mean_reflection_consistency,0.1478155322372913,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,bell,base,reflective_region_psnr,28.298690032958984,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,bell,base,full_psnr,34.258189473833355,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,bell,base,full_ssim,0.976869246257203,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,bell,base,full_lpips,0.032542489834928,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,bell,base,reflective_psnr,34.90486281258719,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,bell,base,reflective_ssim,0.9790980273059436,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,bell,base,reflective_lpips,0.0260024357786668,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
glossy_synthetic,train,bell,base,valid_pair_count,10.0,count,docs/superpowers/logs/rc-refgs-fd-p2-lite-main-table-2026-05-29.csv,True,pair-count metric from earlier main consistency table
glossy_synthetic,train,bell,rc,mean_reflection_consistency,0.1433430403470993,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary
